store_id,lote_id,product_id,cantidad_inventario_inicial
13,253,900,11
13,451,937,16
13,233,901,5
13,77,424,23
13,152,406,16
13,104,376,2
13,272,734,4
13,263,752,16
13,153,418,10
13,159,808,8
13,272,535,17
13,272,546,8
13,272,598,5.89
13,263,606,7.61
13,263,622,2.51
13,263,779,5
13,272,637,14
13,277,948,15
13,529,488,20
13,480,131,32
13,590,118,16.96
13,460,941,2
13,38,902,1
13,354,947,8
13,412,950,12
13,287,904,21
13,80,444,20
13,350,905,12
13,245,906,3
13,272,927,5.5
13,226,186,12
13,1,892,1
18,1,944,7
18,1,92,4
18,1,101,9
18,1,110,86
18,1,111,5
18,272,114,8
18,1,115,8.4
18,1,116,53
18,1,122,12
18,1,118,3.95
18,1,126,9
18,1,127,11
18,1,124,20
18,1,128,10
18,1,129,5
18,1,863,23
18,1,138,5
18,1,139,2
18,1,140,5
18,1,141,3
18,1,150,1
18,1,151,4
18,1,149,2
18,1,144,4
18,1,145,5
18,1,146,5
18,1,148,4
18,1,154,4
18,1,155,10
18,1,157,2
18,1,158,10
18,1,159,6
18,1,160,10
18,1,161,12
18,1,163,22
18,1,90,8
18,1,94,10
18,272,753,4
18,1,143,3.5
18,235,931,69
18,1,1088,3
18,244,168,3
18,1,1028,3
18,708,179,18
18,709,178,7
18,496,190,7
18,639,189,6
18,179,195,10
18,1,313,11
18,256,196,40
18,714,198,9
18,713,199,2
18,689,207,22
18,1,1126,6
18,487,212,8
18,472,213,7
18,224,871,2
18,304,281,2
18,662,974,1
18,269,288,12
18,365,294,13
18,1,1029,5
18,711,320,7
18,224,906,4
18,563,332,11
18,650,328,5
18,240,329,8
18,564,333,6
18,449,876,4
18,388,337,21
18,1,877,4
18,1,352,4
18,1,1006,2
18,1,359,7
18,118,369,1
18,113,384,3
18,345,386,1
18,105,392,6
18,349,398,3
18,113,402,6
18,703,1127,1
18,673,411,3
18,1,409,10
18,295,416,1
18,667,420,2
18,344,422,5
18,705,428,2
18,296,435,4
18,706,880,1
18,674,438,8
18,704,446,1
18,676,448,1
18,660,455,12
18,299,472,7
18,270,1030,4
18,1,882,5
18,396,482,5
18,418,483,2
18,394,484,12
18,1,327,5
18,741,395,3
18,518,191,14
18,310,404,1
18,588,988,39
18,665,208,46
18,723,226,117
18,224,203,4
18,1,891,2
18,347,442,4
18,690,247,9
18,1,358,9
18,414,321,8
18,712,319,15
18,721,1031,3
18,1,1032,1
18,1,342,1
18,316,434,2
18,497,176,8
18,1,237,82
18,1,279,3
18,652,301,54
18,1,305,9
18,278,367,16
18,424,286,4
18,224,1128,4
18,1,1033,1
18,1,606,23.8
18,1,622,8.6
18,263,779,0.5
18,272,577,2.75
18,1,796,16.3
18,1,637,55
18,1,54,10
18,1,948,8
18,718,241,46
18,715,238,35
18,537,137,13
18,681,1034,63
18,664,1035,3
18,702,1129,7
18,677,893,8
18,669,1036,8
18,358,1037,12
18,726,1038,10
18,1,1039,7
18,244,82,14.5
18,263,1040,4.5
18,1,904,1
18,1,545,14.5
18,1,1041,5
20,695,1000,1
20,683,1001,80
20,666,21,2
20,720,22,13
20,743,1124,6
20,700,19,21
20,743,5,45
20,694,1042,1
20,675,48,4
20,716,50,3
20,658,1043,3
20,658,76,3
20,691,72,3
20,686,59,5
20,692,68,4
20,701,71,4
20,655,49,28
20,697,67,2
20,682,1044,2
20,671,53,36
20,688,13,10
20,668,37,6
20,698,6,2
20,657,77,3
20,719,51,4
20,699,33,2
20,722,16,12
20,687,69,1
20,725,1056,2
20,672,34,2
20,670,1057,2
20,724,1058,42
20,696,1125,9
20,693,79,3
1,631,83,597
1,542,84,24
1,560,85,217
1,570,86,3706
1,542,87,392
1,480,88,58
1,542,89,422
1,542,90,58
1,569,91,25
1,482,92,182
1,522,93,844
1,568,94,194
1,522,96,1902
1,543,97,1810
1,624,98,42
1,530,99,17
1,582,100,242
1,471,101,86
1,530,102,277
1,603,103,56
1,544,104,541
1,529,106,770
1,605,107,1313
1,512,108,123
1,463,109,16
1,630,110,737
1,513,111,70
1,630,112,9
1,549,113,1510
1,527,115,29
1,633,116,4
1,585,117,8
1,589,121,5
1,633,122,12
1,498,124,32
1,550,125,1017
1,553,126,64
1,570,127,87
1,561,128,49
1,481,131,49
1,525,138,56
1,525,139,105
1,508,140,57
1,587,141,47
1,521,143,19
1,551,144,191
1,551,145,131
1,632,146,394
1,632,147,282
1,552,148,33
1,552,149,48
1,552,150,74
1,551,151,111
1,583,152,127
1,510,153,1
1,584,154,42
1,584,155,7
1,531,156,165
1,626,157,194
1,489,158,77
1,559,159,106
1,510,160,135
1,489,161,159
1,524,162,18
1,524,163,39
1,572,164,55
1,632,486,200
1,549,488,36
1,615,534,27.3
1,613,535,9.4
1,272,535,10
1,613,593,24.2
1,271,604,48
1,613,606,236.8
1,613,622,34.85
1,613,629,21.6
1,613,637,21
1,613,698,23.3
1,613,734,97
1,613,738,20.5
1,613,757,21.1
1,276,774,12
1,272,779,1
1,545,863,403
1,517,932,18
1,581,944,212
1,614,945,9.1
1,603,956,2
1,272,948,16
1,471,957,202
1,603,958,202
1,581,951,97
1,605,963,200
1,605,966,200
1,604,968,200
1,625,969,201
1,625,970,200
1,602,972,125
1,272,986,84
1,545,989,53
1,623,991,200
1,561,992,1
1,484,993,3
1,606,994,199
1,599,998,422
1,13,1004,15
1,585,1023,19
1,635,1024,25
1,571,1025,194
1,272,1026,20
1,612,1022,10.8
5,514,91,62
5,601,86,1102
5,624,98,11
5,507,100,50
5,605,104,688
5,513,110,221
5,629,111,35
5,550,117,56
5,584,125,164
5,584,156,109
5,586,928,12
5,545,164,7
5,542,863,237
14,542,819,20
14,547,820,20
14,575,821,21
14,555,823,6
14,555,824,7
14,576,825,23
14,568,827,7
14,578,828,20
14,603,830,6
14,567,996,20
14,542,831,4
14,629,832,30
14,553,833,20
14,550,835,20
14,520,836,20
14,577,837,6
14,538,838,8
14,540,841,7
14,557,843,24
14,593,844,5
14,551,845,30
14,533,846,20
14,556,847,20
14,517,848,47
11,581,932,4
11,542,80,3
11,542,87,3
11,570,89,6
11,596,86,36
11,521,96,3
11,471,97,2
11,530,101,3
11,529,104,10
11,549,110,3
11,628,113,8
11,553,122,5
11,550,126,4
11,558,125,6
11,558,128,1
11,545,129,1
11,622,1130,1
11,551,139,1
11,561,145,2
11,632,147,4
11,484,146,4
11,489,152,1
11,640,161,6
11,302,213,1
11,459,281,1
11,46,282,1
11,144,892,2
11,37,908,5
11,73,909,2
11,75,910,6
11,44,911,4
11,53,912,4
11,69,913,7
11,64,914,2
11,155,915,3
11,164,916,2
11,74,917,3
11,59,918,6
11,162,919,6
11,158,920,4
11,17,921,4
11,17,352,7
11,235,815,1
11,79,1006,3
11,147,377,3
11,43,446,2
11,37,458,2
11,162,922,5
11,143,923,3
11,146,924,5
11,248,925,1
11,82,314,12
11,505,376,1
14,547,80,4
14,569,87,2
14,542,91,4
14,560,89,11
14,560,85,25
14,482,86,83
14,516,92,7
14,521,96,57
14,624,97,11
14,462,98,6
14,523,84,8
14,480,83,2
14,507,88,3
14,471,100,3
14,530,101,2
14,471,102,3
14,530,103,2
14,595,104,38
14,512,106,1
14,512,108,6
14,523,110,30
14,483,113,11
14,2,111,3
14,590,115,10.255
14,585,116,8
14,636,117,8
14,536,119,4
14,476,122,6
14,500,118,2.19
14,499,126,4
14,498,127,31
14,550,124,13
14,517,125,21
14,481,128,3
14,545,129,7
14,622,130,16
14,525,138,7
14,541,139,4
14,587,140,2
14,548,141,4
14,551,150,4
14,551,151,10
14,534,144,6
14,632,145,1
14,561,147,15
14,531,146,5
14,584,154,5
14,531,155,5
14,489,156,5
14,489,157,1
14,559,158,9
14,510,159,5
14,559,160,4
14,524,161,12
14,572,163,5
14,542,164,12
14,516,90,6
14,263,94,5
14,463,753,5.54
14,637,109,10
14,204,123,32
14,182,960,2
14,182,961,2
14,203,962,5
14,199,171,5
14,410,168,9
14,198,167,2
14,494,169,4
14,193,964,7
14,193,867,3
14,710,953,5
14,710,179,5
14,200,178,7
14,213,1065,4
14,217,185,10
14,1,935,16
14,1,190,1
14,205,189,12
14,373,196,63
14,374,198,13
14,378,197,6
14,174,199,5
14,194,965,1
14,100,967,2
14,443,212,18
14,204,213,14
14,187,971,4
14,231,973,1
14,151,282,25
14,319,974,5
14,176,288,4
14,195,289,14
14,36,975,5
14,204,294,12
14,200,874,2
14,166,976,3
14,218,316,8
14,223,318,3
14,204,320,13
14,204,977,2
14,204,978,2
14,202,979,1
14,206,327,6
14,196,325,5
14,210,326,10
14,206,328,4
14,202,329,15
14,208,876,2
14,200,337,14
14,211,980,8
14,192,981,8
14,197,982,1
14,1,983,4
14,1,909,3
14,1,910,5
14,1,911,3
14,1,912,5
14,1,913,8
14,1,914,4
14,1,915,3
14,1,916,10
14,1,917,6
14,1,918,11
14,1,907,5
14,1,919,15
14,1,946,7
14,215,920,4
14,212,352,2
14,215,816,6
14,638,359,5
14,109,370,6
14,48,374,2
14,44,377,3
14,119,375,3
14,120,383,1
14,607,384,3
14,107,386,5
14,222,450,1
14,1,396,6
14,609,397,1
14,92,398,5
14,1,984,1
14,461,402,1
14,62,403,3
14,149,1127,1
14,154,411,3
14,108,409,9
14,477,415,2
14,150,416,6
14,42,419,3
14,608,420,4
14,127,422,2
14,41,427,4
14,45,428,9
14,35,428,12
14,41,430,18
14,478,430,14
14,69,435,5
14,65,880,6
14,60,438,17
14,220,436,17
14,147,446,11
14,329,448,3
14,139,334,6
14,468,459,12
14,162,455,4
14,157,456,3
14,142,458,5
14,43,459,22
14,182,882,4
14,193,882,2
14,591,470,2
14,47,985,2
14,210,482,1
14,212,483,4
14,209,484,7
14,684,987,29
14,493,472,4
14,519,191,5
14,501,404,6
14,501,372,2
14,351,421,3
14,69,378,6
14,184,401,3
14,467,371,4
14,323,988,2
14,214,183,4
14,216,887,8
14,152,456,3
14,526,226,25
14,303,891,3
14,611,442,3
14,465,1034,11
14,215,358,8
14,648,266,4
14,414,321,14
14,178,319,8
14,132,342,1
14,201,990,2.317
14,208,350,14
14,331,417,6
14,180,165,3
14,425,279,2
14,275,343,2
14,236,344,1
14,266,345,2
14,275,346,3
14,275,348,4
14,356,361,4
14,409,425,3
14,321,464,10
14,1,467,18
14,314,471,1
14,656,1034,4
14,50,286,6
14,101,897,13
14,217,934,44
14,207,314,30
14,200,900,9
14,58,418,1
14,69,808,3
14,272,535,5.054
14,263,606,8.722
14,263,622,9.73
14,263,779,4.034
14,272,796,9.432
14,272,637,10.912
14,352,441,1
14,43,3368,5
14,264,948,2.014
14,421,606,8.722
16,398,1000,1
16,738,41,34
16,243,41,23
16,241,1001,24
16,238,1001,18
16,239,1001,96
16,739,55,38
16,737,55,24
16,731,55,24
16,398,75,2
16,735,1,6
16,732,1,1
16,433,71,1
16,653,1121,6
16,96,37,60
16,734,1122,1
16,450,3,2
16,399,1002,2
16,401,69,2
16,610,34,1
16,322,79,1
16,400,79,3
16,397,79,1
16,406,58,3
16,407,58,1
16,733,8,5
16,736,8,1
16,446,65,2
16,434,70,3
16,647,360,48
16,684,987,26
16,685,987,96
16,661,1007,12
16,680,247,9
16,679,247,60
16,678,247,48
16,707,174,44
16,742,1008,66
16,243,1009,23
16,728,1010,14
16,642,1123,24
16,727,14,12
16,379,1011,12
16,375,1012,12
16,377,1013,12
16,643,1014,24
16,740,1015,20
16,729,1015,8
16,730,1016,6
16,646,1017,27
16,645,1018,4
16,644,1019,5
16,663,1020,8
16,659,1021,12
12,447,172,37
12,651,2007,13
12,505,80,17
12,11,183,4
12,8,935,20
12,267,934,25
12,11,934,20
12,228,196,5
12,284,196,16
12,263,535,3
12,263,535,6
12,263,948,9
12,263,557,12
12,263,557,17
12,263,557,12
12,263,637,18
12,263,637,11
12,263,637,15
12,523,83,64
12,504,931,14
12,560,85,55
12,570,86,100
12,542,86,119
12,560,86,100
12,618,87,6
12,542,87,10
12,481,88,8
12,462,89,4
12,542,89,20
12,514,91,12
12,569,91,20
12,486,92,4
12,579,93,8
12,522,93,40
12,516,94,20
12,516,96,214
12,524,97,83
12,543,97,200
12,515,98,4
12,530,99,8
12,507,100,4
12,490,102,30
12,530,102,20
12,471,103,8
12,490,104,14
12,530,104,20
12,469,101,3
12,529,106,47
12,529,107,10
12,463,109,11
12,512,110,64
12,605,110,100
12,483,111,2
12,513,111,3
12,542,90,16
12,511,113,44
12,523,113,100
12,616,115,4.82
12,263,576,0.5
12,261,598,0.615
12,481,496,10
12,633,116,24
12,495,117,1
12,476,118,1.91
12,590,118,9.775
12,600,122,4
12,633,122,6
12,263,546,9
12,500,127,12
12,473,127,10
12,498,124,58
12,498,125,41
12,550,125,30
12,517,128,26
12,474,128,5
12,545,128,14
12,481,863,3
12,545,863,94
12,545,129,5
12,517,752,8
12,263,943,15
12,247,943,12
12,304,288,2
12,306,289,3
12,460,132,2
12,574,288,2
12,573,294,2
12,622,138,6
12,525,139,19
12,508,140,4
12,188,359,1
12,587,144,4
12,256,152,43
12,455,1127,2
12,453,1127,2
12,454,159,3
12,73,910,9
12,137,910,2
12,53,913,16
12,64,915,4
12,84,917,6
12,74,918,14
12,49,919,21
12,56,946,21
12,87,920,1
12,87,907,1
12,235,166,3
12,189,166,2
12,235,359,4
12,654,260,49
12,534,144,11
12,534,145,5
12,551,145,10
12,509,146,30
12,561,146,30
12,561,147,20
12,632,147,30
12,552,148,8
12,634,149,12
12,552,150,9
12,465,151,7
12,484,152,6
12,140,335,9
12,160,375,24
12,134,427,6
12,145,427,7
12,79,377,18
12,116,392,6
12,117,402,14
12,124,411,1
12,122,411,7
12,57,416,8
12,163,416,2
12,156,416,2
12,85,422,16
12,51,422,7
12,112,429,3
12,97,445,3
12,123,445,4
12,78,419,24
12,63,377,9
12,163,427,3
12,71,427,5
12,76,428,22
12,69,448,2
12,79,452,20
12,60,452,5
12,80,444,11
12,79,444,9
12,161,444,2
12,83,455,25
12,52,458,4
12,141,458,4
12,133,458,4
12,69,465,12
12,78,465,11
12,157,465,1
12,531,154,4
12,489,157,4
12,626,157,5
12,489,158,8
12,173,114,1.61
12,532,159,1
12,489,160,14
12,559,161,29
17,505,80,2
17,542,87,11
17,569,91,7
17,560,85,4
17,560,86,200
17,522,93,14
17,516,96,216
17,506,97,260
17,624,98,8
17,520,83,25
17,480,88,9
17,582,100,18
17,470,101,1
17,530,102,7
17,471,99,3
17,603,103,5
17,530,104,72
17,595,107,13
17,595,106,7
17,512,108,7
17,605,110,74
17,549,113,22
17,513,111,17
17,2,115,5.42
17,590,116,30
17,585,117,14
17,600,119,8
17,633,122,11
17,502,126,4
17,499,127,3
17,498,124,13
17,550,125,26
17,474,128,5
17,621,129,2
17,517,954,19
17,525,139,13
17,580,141,2
17,620,149,4
17,551,144,3
17,551,145,11
17,632,147,16
17,632,146,11
17,488,157,14
17,559,159,3
17,559,160,3
17,489,161,12
17,489,928,13
17,542,90,9
17,516,94,4
17,463,109,4
17,504,931,6
17,128,897,42
17,89,352,2
17,103,355,11
17,138,934,39
17,248,314,31
27,383,292,7.4
27,411,1027,52.1
27,423,469,142
27,438,296,158
27,1,466,126
27,268,298,102
27,370,320,97
27,1,474,89
27,1,1045,65.6
27,327,347,65
27,390,1048,60
27,1,464,110
27,372,213,59
27,348,204,55
27,1,359,55
27,1,165,59
27,1,937,47
27,389,1048,47
27,1,474,46
27,709,178,45
27,320,212,45
27,254,349,42
27,1,477,42
27,230,281,60
27,17,319,40
27,436,342,45
27,282,1050,40
27,335,289,39
27,1,183,68
27,286,338,39
27,1,182,41
27,171,220,38
27,1,460,54
27,371,290,35
27,710,179,34
27,1,175,34
27,1,1059,34
27,307,282,33
27,420,332,33
27,1,273,33
27,562,333,32
27,1,304,63
27,594,1060,31.02
27,369,341,35
27,325,343,31
27,1,181,30
27,1,459,30
27,1,191,30
27,384,318,29
27,1,300,29
27,1,361,38
27,282,1061,29
27,336,288,28
27,294,205,28
27,1,192,28
27,357,346,28
27,1,252,27
27,337,286,67
27,1,964,26
27,1,238,26
27,1,870,25
27,1,226,25
27,1,176,25
27,1,481,25
27,1,230,25
27,265,1062,25
27,55,1131,24
27,414,321,24
27,441,322,23
27,403,344,23
27,1,468,85
27,1,479,31
27,1,1063,23
27,386,364,4.7
27,393,190,22
27,1,1064,22
27,1,1066,22
27,1,935,57
27,381,189,21
27,503,335,21
27,346,398,21
27,364,454,21
27,1,1030,32
27,367,297,21
27,172,349,21
27,1,1067,97
27,333,132,21
27,1,1068,21
27,1,1069,21
27,1,230,21
27,1,1070,21
27,1,986,20.68
27,1,198,20
27,1,384,20
27,1,336,20
27,1,304,22
27,1,1071,35
27,233,338,20
27,1,953,37
27,385,351,19
27,1,934,63
27,293,365,18
27,293,365,18
27,1,446,18
27,1,230,18
27,1,247,18
27,1,218,18
27,75,911,20
27,298,472,17
27,439,168,16
27,1,1073,16
27,382,326,16
27,1,420,16
27,311,484,18
27,54,338,16
27,1,230,16
27,1,196,21
27,440,316,15
27,1,918,15
27,1,419,15
27,60,287,15
27,1,355,18
27,257,219,15
27,1,217,15
27,324,417,21
27,40,188,15
27,326,345,15
27,1,357,16
27,129,1074,36
27,1,1076,15
27,1,1117,14
27,1,197,14
27,1,199,14
27,52,424,15
27,165,1079,23
27,308,372,17
27,289,371,34
27,313,434,17
27,1,214,14
27,1,1080,14
27,416,169,13
27,1,238,13
27,417,327,13
27,342,422,13
27,432,1081,13
27,1,1082,21
27,1,193,17
27,167,279,13
27,1,894,19
27,429,1083,13
27,1,233,13
27,1,233,12
27,1,230,12
27,565,331,12
27,44,909,12
27,1,910,14
27,1,982,12
27,317,395,14
27,1,1034,12
27,1,480,12
27,1,1120,16
27,1,936,12
27,1,873,11
27,1,974,11
27,1,377,11
27,291,386,11
27,291,396,11
27,1,409,11
27,1,436,11
27,1,394,11
27,1,1034,11
27,1,1034,11
27,1,165,23
27,1,1086,11
27,1,987,10
27,1,194,10
27,1,922,10
27,1,1029,10
27,1,917,10
27,1,369,16
27,1,392,10
27,1,402,16
27,1,438,10
27,330,334,10
27,1,895,10
27,1,1099,10
27,1,890,10
27,305,282,10
27,168,270,10
27,1,215,10
27,1,245,10
27,566,274,10
27,1,302,10
27,430,440,10
27,1,246,10
27,1,230,10
27,1,1034,10
27,1,361,15
27,358,1037,10
27,1,913,14
27,445,455,16
27,309,404,9
27,444,295,37
27,717,211,17
27,170,278,9
27,1,1085,10
27,1,1088,14
27,1,900,9
27,1,1089,9
27,1,1091,9
27,1,1092,8.3
27,416,167,8
27,1,195,8
27,1,901,8
27,1,877,9
27,1,879,8
27,64,915,8
27,1,946,8
27,1,388,8
27,343,397,8
27,285,403,12
27,1,411,8
27,1,428,8
27,1,1034,8
27,1,358,8
27,169,339,21
27,1,238,8
27,1,271,8
27,431,391,24
27,428,462,13
27,1,1087,8
27,1,238,8
27,1,1095,8
27,1,864,7
27,1,1097,7
27,1,352,9
27,1,1006,8
27,1,1098,17
27,1,380,7
27,1,203,11
27,405,1102,11
27,452,317,7
27,426,408,7
27,1,233,7
27,1,965,6
27,1,1107,20
27,437,325,6
27,1,912,7
27,1,1109,6
27,1,375,6
27,1,407,6
27,223,1110,12
27,297,433,6
27,363,170,6
27,1,889,9
27,185,187,6
27,1,412,6
27,1,899,6
27,1,1114,6
27,1,451,6
27,395,171,5
27,1,1115,8
27,1,916,16
27,1,414,5
27,1,1116,16
27,341,441,5
27,338,385,5
27,1,884,5
27,1,817,6
27,1,230,5
27,1,1103,11
27,1,866,17
27,1,23,4
27,353,421,4
27,1,430,4
27,1,458,4
27,1,1106,4
27,1,1108,4
27,359,367,4
27,1,382,4
27,106,389,5
27,427,447,4
27,1,280,4
27,1,1112,4
27,45,418,4
27,355,441,4
27,641,1113,13
27,1,238,4
27,1,242,3
27,42,1079,5
27,42,423,3
27,1,914,9
27,1,919,38
27,162,1109,3
27,81,437,5
27,311,482,3
27,1,1105,16
27,66,456,3
27,1,888,18
27,1,277,3
27,1,283,3
27,1,312,3
27,1,356,3
27,1,467,65
27,1,875,2
27,404,328,2
27,121,1101,3
27,125,1100,3
27,366,885,2
27,130,413,3
27,318,471,2
27,1,1087,2
27,1,1096,10
27,191,314,7
27,1,1089,68
27,73,376,2
27,177,1094,4
27,1,1087,2
27,649,990,1.8
27,1,1093,15
27,419,876,1
27,123,383,3
27,1,450,1
27,131,410,6
27,110,427,5
27,1,309,2
27,1,233,1
27,1,353,1
27,1,1087,1
27,61,406,2
27,53,445,3
27,360,1084,9
27,517,863,48
27,570,86,71
27,516,96,93
27,512,110,37
27,559,161,28
27,481,131,23
27,521,113,85
27,534,144,64
27,463,109,21
27,561,146,33
27,490,104,37
27,559,160,15
27,479,931,54
27,622,138,14
27,525,139,14
27,539,94,34
27,2,115,15.55
27,512,108,13
27,491,125,96
27,484,152,23
27,523,83,12
27,530,99,25
27,597,92,15
27,471,102,11
27,633,116,10
27,552,148,13
27,531,156,18
27,489,157,10
27,529,106,19
27,528,118,22
27,627,80,43
27,481,989,17
27,524,163,17
27,475,162,20
27,462,819,7
27,471,101,6
27,619,151,6
27,551,145,19
27,624,98,8
27,582,100,6
27,513,111,6
27,598,119,14
27,498,124,17
27,474,128,5
27,541,140,15
27,552,149,16
27,466,154,16
27,559,159,11
27,542,90,5
27,543,97,44
27,480,88,4
27,471,103,9
27,590,122,19
27,617,141,4
27,464,147,15
27,489,158,6
27,547,87,16
27,466,155,15
27,485,91,21
27,535,117,12
27,473,127,29
27,621,805,7
27,533,164,2
27,542,89,1
27,592,956,40
27,500,126,22
29,91,43,216
29,86,22,194
29,88,1001,68
29,99,53,173
29,98,5,193
29,126,13,48
29,93,20,46
29,70,16,81
29,90,15,24
29,190,1038,59
29,135,12,23
29,88,1009,33
29,181,54,9
29,68,59,7
29,102,57,7
29,102,58,7
29,93,68,10
29,95,67,5
29,93,78,5
29,67,9,5
29,102,56,4
29,114,60,4
29,93,75,3
29,94,76,3
29,39,72,3
29,93,1053,4
29,93,79,3
29,93,74,2
29,93,77,7
28,251,81,154
28,232,143,112
28,274,1075,8
27,262,948,7.5
27,72,622,30.325
27,422,738,109.25
27,435,114,87.33
27,232,606,73.3
27,422,796,34.7
27,272,1026,36
27,435,756,67
